Date,Close_GOOG,High_GOOG,Low_GOOG,Open_GOOG,Volume_GOOG,MA20,MA50,MA200,DailyReturn
2020-02-05,71.92,72.69,71.04,72.62,"39,724,000.00",72.1,71.49,71.49,0
2020-02-06,73.31,73.6,71.99,72.02,"33,588,000.00",72.27,71.56,71.56,0.02
2020-02-07,73.46,73.79,72.82,72.87,"23,446,000.00",72.42,71.64,71.64,0
2020-02-10,74.92,74.96,73.21,73.21,"28,398,000.00",72.62,71.76,71.76,0.02
2020-02-11,74.93,75.96,74.77,75.08,"26,892,000.00",72.79,71.87,71.87,0
2020-02-12,75.4,75.52,74.89,75.21,"23,352,000.00",73.01,71.99,71.99,0.01
2020-02-13,75.22,75.84,74.72,75.12,"18,590,000.00",73.19,72.1,72.1,0
2020-02-14,75.52,75.52,74.85,75.26,"23,956,000.00",73.37,72.21,72.21,0
2020-02-18,75.47,76.06,75.12,75.24,"22,414,000.00",73.46,72.31,72.31,0
2020-02-19,75.82,76.08,75.55,75.74,"18,986,000.00",73.57,72.42,72.42,0
2020-02-20,75.39,75.96,74.83,75.58,"21,932,000.00",73.65,72.51,72.51,-0.01
2020-02-21,73.75,75.1,73.52,74.89,"34,634,000.00",73.64,72.54,72.54,-0.02
2020-02-24,70.6,71.36,70.09,70.82,"57,342,000.00",73.53,72.49,72.49,-0.04
2020-02-25,68.95,71.42,68.65,71.16,"49,566,000.00",73.42,72.39,72.39,-0.02
2020-02-26,69.19,70.3,68.48,69.33,"44,048,000.00",73.27,72.31,72.31,0
2020-02-27,65.46,68.12,65.41,67.64,"59,566,000.00",72.92,72.13,72.13,-0.05
2020-02-28,66.51,66.6,63.12,63.44,"75,782,000.00",72.63,71.99,71.99,0.02
2020-03-02,68.98,69.07,65.89,67.12,"48,630,000.00",72.52,71.92,71.92,0.04
2020-03-03,66.61,70.03,66.15,69.5,"48,046,000.00",72.16,71.79,71.79,-0.03
2020-03-04,68.85,68.93,66.7,67.5,"38,266,000.00",72.01,71.72,71.72,0.03
2020-03-05,65.5,67.48,64.81,67.05,"51,226,000.00",71.69,71.58,71.58,-0.05
2020-03-06,64.48,64.87,62.62,63.42,"53,212,000.00",71.25,71.42,71.42,-0.02
2020-03-09,60.36,62.31,59.59,59.86,"67,308,000.00",70.6,71.18,71.18,-0.06
2020-03-10,63.58,63.62,60.52,62.57,"52,228,000.00",70.03,71.02,71.02,0.05
2020-03-11,60.36,62.62,59.4,62.06,"52,170,000.00",69.3,70.8,70.8,-0.05
2020-03-12,55.37,59.29,55.29,55.92,"84,534,000.00",68.3,70.49,70.49,-0.08
2020-03-13,60.57,60.57,55.48,58.55,"74,002,000.00",67.57,70.29,70.29,0.09
2020-03-16,53.85,57.22,53.36,54.43,"85,048,000.00",66.48,70.01,69.96,-0.11
2020-03-17,55.61,56.16,52.44,54.28,"77,230,000.00",65.49,69.77,69.69,0.03
2020-03-18,54.47,54.95,51.51,52.47,"84,668,000.00",64.42,69.47,69.4,-0.02
2020-03-19,55.39,57.5,52.65,54.28,"73,022,000.00",63.42,69.2,69.14,0.02
2020-03-20,53.25,56.81,52.91,56.4,"72,036,000.00",62.4,68.87,68.85,-0.04
2020-03-23,52.47,53.2,50.33,52.71,"80,882,000.00",61.49,68.5,68.56,-0.01
2020-03-24,56.34,56.36,54.16,54.81,"66,890,000.00",60.86,68.21,68.35,0.07
2020-03-25,54.75,57.05,53.93,55.94,"81,630,000.00",60.14,67.88,68.11,-0.03
2020-03-26,57.69,58.1,54.3,55.21,"71,434,000.00",59.75,67.61,67.94,0.05
2020-03-27,55.16,57.14,54.92,55.9,"64,170,000.00",59.18,67.28,67.72,-0.04
2020-03-30,56.95,57.19,54.45,55.87,"51,482,000.00",58.58,66.98,67.55,0.03
2020-03-31,57.75,58.37,56.52,56.98,"49,728,000.00",58.14,66.67,67.39,0.01
2020-04-01,54.91,56.1,54.5,55.72,"46,884,000.00",57.44,66.29,67.19,-0.05
2020-04-02,55.66,55.96,54.45,54.54,"39,298,000.00",56.95,65.93,67.01,0.01
2020-04-03,54.52,55.8,53.62,55.57,"46,268,000.00",56.45,65.54,66.82,-0.02
2020-04-06,58.94,59.33,56.16,56.51,"53,294,000.00",56.38,65.26,66.7,0.08
2020-04-07,58.92,60.83,58.71,60.64,"47,746,000.00",56.15,65.02,66.58,0
2020-04-08,60.1,60.54,59,59.91,"39,502,000.00",56.13,64.78,66.49,0.02
2020-04-09,60.16,60.86,59.43,60.79,"43,508,000.00",56.37,64.53,66.39,0
2020-04-13,60.46,60.61,58.98,60.05,"34,796,000.00",56.37,64.29,66.31,0.01
2020-04-14,63.03,63.67,61.43,61.83,"49,408,000.00",56.83,64.13,66.26,0.04
2020-04-15,62.69,63.59,61.6,61.86,"33,434,000.00",57.18,63.91,66.21,-0.01
2020-04-16,62.74,63.52,61.71,63.27,"50,362,000.00",57.59,63.73,66.17,0
